i
the
you
a
and
my
that
to
in
me
im
it
on
of
like
is
this
we
your
with
all
for
got
up
dont
they
know
not
but
can
so
fuck
shit
just
get
she
its
be
when
at
bitch
was
if
what
aint
no
her
nigga
love
now
