1,1,1,1,1,1,1,2,2,2,2,2,2,3,3,3,3,3,3,4,4,4,4,4,4,4,5,5,5,5,5,5,6,6,6,6,6,6,7,7,7,7,7,7
niggas,igh,back,god,good,love,could,say,girls,are,white,girl,man,too,money,way,real,niggas,girl,have,how,back,his,em,world,gonna,been,always,look,tryna,she,could,tell,see,life,two,live,an,shit,nigga,then,bitch,fuckin,wolf
