card,18
month,18
heaven,18
along,18
wave,18
vibe,18
final,18
bet,18
welcom,18
shift,18
fill,18
outta,18
laugh,18
iggi,18
color,18
danc,18
six,18
fear,18
whip,17
addict,17
spit,17
kendrick,17
west,17
smile,17
sell,17
shout,17
kany,17
lil,17
piss,17
jump,17
loud,17
mai,17
corner,17
behind,17
everydai,17
pill,17
forget,17
mic,17
finger,17
rather,17
isnt,17
feet,17
reach,17
lean,17
brought,16
hole,16
funni,16
scream,16
bomb,16
crown,16
smell,16
saw,16
fame,16
rest,16
odd,16
leg,16
doubl,16
perfect,16
fact,16
site,16
worth,16
minut,16
imagin,16
exactli,16
hook,16
fell,16
cock,16
hour,16
part,16
doesnt,16
jack,16
mother,16
ear,16
cook,16
fat,16
famou,16
respect,16
whatev,15
spot,15
deserv,15
plane,15
w,15
less,15
piec,15
repeat,15
class,15
bro,15
pla,15
youv,15
soon,15
fool,15
woo,15
treat,15
harder,15
broad,15
swag,15
calm,15
honei,15
compton,15
box,15
parent,15
nose,15
pac,15
point,15
bill,15
everywher,15
bing,15
almost,15
lake,15
coke,15
hide,15
trust,15
weird,15
fam,15
list,15
crash,15
yellow,14
figur,14
chill,14
push,14
decid,14
woah,14
vacant,14
ac,14
gerald,14
read,14
jealou,14
five,14
wors,14
middl,14
ground,14
asshol,14
ga,14
click,14
bare,14
state,14
forgot,14
yadadamean,14
wallet,14
thang,14
mare,14
twerk,14
diamond,14
fine,14
spend,14
bish,14
havent,14
throat,14
fade,14
bullet,14
proud,14
todai,14
posit,14
kile,14
shirt,14
wale,14
sky,14
beauti,13
camp,13
chile,13
crowd,13
thousand,13
tripe,13
aw,13
tv,13
strang,13
devil,13
fresh,13
lock,13
bale,13
count,13
order,13
slee,13
plu,13
book,13
brown,13
lucki,13
blame,13
food,13
heavi,13
station,13
jordan,13
watc,13
geazi,13
cell,13
control,13
bed,13
answer,13
dime,13
super,13
seat,13
either,13
messag,13
must,13
ran,13
liquor,13
weak,13
dada,13
wife,13
arm,13
chees,13
sip,13
g,13
closet,13
drunk,13
glass,12
fit,12
project,12
goddamn,12
later,12
role,12
stress,12
thatll,12
clap,12
dirti,12
clock,12
pound,12
chah,12
marri,12
bust,12
outsid,12
stage,12
heartless,12
kitchen,12
angel,12
speed,12
stare,12
match,12
convers,12
camera,12
drope,12
taught,12
yea,12
shoulder,12
insan,12
lyric,12
shake,12
killer,12
shop,12
girlfriend,12
paint,12
random,12
rep,12
mix,12
sho,12
joke,12
expl,12
ocean,12
boss,12
greatest,12
cowboi,12
hustl,12
os,12
sold,12
anybodi,12
slave,12
blind,11
smo,11
child,11
cale,11
fix,11
boat,11
stone,11
nowher,11
dawg,11
iller,11
blond,11
cover,11
rack,11
punch,11
movi,11
lo,11
fan,11
band,11
buck,11
cat,11
slap,11
fifth,11
cannot,11
pool,11
nine,11
mise,11
lip,11
clear,11
empti,11
clich,11
handl,11
yele,11
dri,11
fuckin,11
older,11
bam,11
ting,11
yep,11
fore,11
holla,11
jail,11
squad,11
none,11
least,11
b,11
spent,11
cup,11
clack,11
nut,11
swallow,11
soft,11
anymor,11
jean,11
dinner,11
tie,11
memori,11
joint,11
imposs,11
lighter,11
except,11
quit,11
diss,11
dish,11
muhfuc,11
style,11
bigger,11
wrote,11
mistak,11
shell,11
wild,11
lead,11
relat,10
yup,10
fair,10
men,10
dave,10
support,10
tear,10
bite,10
bright,10
blueprint,10
magic,10
race,10
allow,10
theyd,10
beach,10
bank,10
john,10
cou,10
rais,10
photo,10
teacher,10
extra,10
ea,10
ex,10
honest,10
bling,10
tomorrow,10
cring,10
nurs,10
chain,10
strong,10
histori,10
foot,10
sprai,10
rope,10
special,10
tabl,10
anywai,10
asian,10
warn,10
bone,10
bai,10
classic,10
switch,10
champagn,10
drake,10
flower,10
bit,10
theyll,10
thirsti,10
lame,10
choos,10
success,10
uhhuh,10
evil,10
earth,10
maybach,10
row,10
drown,10
birthdai,10
practic,10
caint,10
hug,10
wood,10
stick,10
sweet,10
wherev,10
fed,10
instead,10
attent,10
view,10
gambino,10
leader,10
slut,10
troubl,10
wine,9
pocket,9
split,9
wrap,9
jerk,9
stole,9
winter,9
quarter,9
grandma,9
punk,9
hotlin,9
ad,9
th,9
small,9
action,9
sipe,9
milei,9
lane,9
scratch,9
sent,9
doubt,9
benz,9
ok,9
pour,9
rule,9
bread,9
excus,9
trunk,9
blast,9
satisfi,9
offend,9
swim,9
ahead,9
bless,9
dirt,9
lit,9
awesom,9
faith,9
tongu,9
michael,9
becom,9
bastard,9
candi,9
voic,9
loui,9
grade,9
grown,9
string,9
boo,9
mac,9
lotta,9
crib,9
dough,9
twenti,9
weve,9
chicago,9
nasti,9
add,9
flip,9
yell,9
pride,9
tom,9
public,9
twice,9
nake,9
uncl,9
circl,9
conscienc,9
tip,9
longer,9
lace,9
pressur,9
sun,9
shouldv,9
shade,9
rip,9
prom,9
religion,9
sexi,9
motiv,9
thug,9
member,9
sweat,9
cmon,9
wing,8
ri,8
wast,8
fail,8
countri,8
colleg,8
dealer,8
afford,8
mango,8
nobu,8
preach,8
pusha,8
tripl,8
tight,8
cigarett,8
struggl,8
condom,8
hova,8
freez,8
sens,8
slip,8
spill,8
togeth,8
runwai,8
drine,8
seven,8
recogn,8
safe,8
kept,8
float,8
opportun,8
zone,8
cost,8
magazin,8
space,8
couldv,8
sheet,8
fruit,8
lib,8
pace,8
loos,8
passion,8
danger,8
pink,8
brand,8
digger,8
nation,8
pardon,8
polic,8
misfit,8
anim,8
earl,8
shame,8
human,8
dip,8
jackson,8
cough,8
lone,8
lick,8
squar,8
suicid,8
mob,8
skeet,8
field,8
u,8
doctor,8
reminisc,8
energi,8
princ,8
beyotch,8
youth,8
spene,8
mirror,8
climb,8
south,8
beam,8
apolog,8
wise,8
ms,8
orang,8
depress,8
toe,8
radic,8
finna,8
ahh,8
heat,8
cocain,8
anyon,8
hungri,8
crime,8
pot,8
ow,8
wassup,8
worst,8
short,8
hill,8
feed,8
kind,8
whenev,8
remot,8
brick,8
demon,8
folk,8
wrist,8
afraid,8
figh,7
golden,7
holi,7
wind,7
backpack,7
confus,7
master,7
ceil,7
player,7
easi,7
umm,7
flipe,7
blo,7
nauseou,7
curs,7
manag,7
luck,7
vic,7
self,7
poplar,7
ugh,7
kunta,7
santa,7
phantom,7
code,7
lea,7
babe,7
scene,7
owner,7
stomach,7
bedroom,7
jai,7
smash,7
pistol,7
tattoo,7
wea,7
wed,7
sister,7
pute,7
ghost,7
offic,7
dy,7
steal,7
jayz,7
wheel,7
bounc,7
realiti,7
everytim,7
cap,7
brain,7
silenc,7
breakfast,7
price,7
america,7
poetic,7
trape,7
stunt,7
youd,7
halei,7
hurri,7
base,7
buzz,7
gimm,7
e,7
gi,7
booti,7
poke,7
toast,7
cloud,7
georg,7
hehe,7
beg,7
truck,7
versac,7
freedom,7
smack,7
jame,7
dre,7
warm,7
roof,7
confid,7
shroom,7
minu,7
gangsta,7
coast,7
basic,7
ugli,7
bure,7
felt,7
weekend,7
femal,7
jacket,7
mile,7
milk,7
lunch,7
crip,7
butt,7
shoo,7
spring,7
broken,7
fale,7
zero,7
jeezi,7
bulli,7
pari,7
fur,7
cuz,7
forward,7
talent,7
chi,7
dr,7
mention,7
bleed,7
unless,7
bull,7
partner,7
retard,7
justic,7
j,7
nail,7
strap,7
spike,7
wolv,7
sober,7
radio,7
goddess,7
fault,7
beef,7
cherri,7
choke,7
younger,7
swing,7
season,7
wayn,7
clog,7
violent,7
rose,7
moon,7
intro,7
trash,7
lack,7
ticket,7
crush,7
known,7
level,7
weight,7
expect,7
teach,7
hotel,7
amaz,7
solo,7
whoa,7
higher,7
judg,7
duck,7
annoi,7
tab,7
sir,7
chri,7
trap,7
york,7
usual,7
rout,7
favor,7
mike,7
nickel,7
presenc,7
beast,7
van,7
bentlei,6
wash,6
shall,6
buse,6
plate,6
blew,6
score,6
piti,6
credit,6
intent,6
chair,6
dopeman,6
pretend,6
tore,6
grammi,6
gunshot,6
custom,6
spark,6
geniu,6
inspir,6
neighbor,6
heh,6
rage,6
flirt,6
baddest,6
pant,6
jet,6
sele,6
babababadaba,6
bababadaba,6
resent,6
shower,6
sock,6
everyt,6
ling,6
coldest,6
hampton,6
bird,6
inhal,6
issu,6
kise,6
spile,6
bother,6
edg,6
drum,6
cd,6
lap,6
forth,6
sue,6
opposit,6
dj,6
coo,6
hane,6
victim,6
spread,6
post,6
prayer,6
p,6
gener,6
cab,6
abort,6
favorit,6
coulda,6
especi,6
deuc,6
trick,6
ca,6
poor,6
pui,6
pablo,6
beyond,6
sta,6
woe,6
nervou,6
bugatti,6
grand,6
conflict,6
grind,6
facebook,6
win,6
nananana,6
confess,6
bee,6
aww,6
hiphop,6
statu,6
slowli,6
twist,6
viciou,6
tint,6
near,6
kim,6
destroi,6
ford,6
shave,6
makeup,6
nananananananah,6
purs,6
cute,6
group,6
normal,6
tux,6
sneaker,6
knife,6
mari,6
children,6
lawyer,6
search,6
dea,6
secur,6
peni,6
backseat,6
compl,6
fiend,6
anonym,6
snap,6
cum,6
jewelri,6
sine,6
cha,6
presid,6
skinni,6
satan,6
rush,6
homei,6
prais,6
fucker,6
ohhh,6
heel,6
direct,6
studio,6
mc,6
searc,6
fashion,6
plenti,6
queen,6
spite,6
weav,6
picasso,6
bath,6
backward,6
rob,6
ultralight,6
critic,6
inform,6
given,6
plastic,6
berri,6
shope,6
hite,6
handsom,6
model,6
yeezi,6
stane,6
mental,6
shoulda,6
suddenli,6
court,6
shouldnt,6
susan,6
alcohol,6
gorgeou,6
dedic,6
hip,6
art,6
outfit,6
condo,6
mommi,6
compar,6
molli,6
echo,6
accent,6
biggi,6
piano,6
rare,6
appl,6
elvi,5
hero,5
buddi,5
notic,5
travel,5
christma,5
singer,5
dummi,5
lamar,5
compromis,5
lift,5
tune,5
east,5
fox,5
exist,5
holl,5
pen,5
st,5
se,5
revers,5
separ,5
borrow,5
vision,5
stretch,5
bulletproof,5
luci,5
surviv,5
jasper,5
wite,5
pule,5
ak,5
ap,5
ti,5
sand,5
casket,5
male,5
accept,5
wri,5
lifestyl,5
kobe,5
writer,5
heyyyyyyyyyyi,5
thou,5
stace,5
kelli,5
ago,5
lee,5
commun,5
swisher,5
societi,5
bump,5
scari,5
vallei,5
system,5
haili,5
atlanta,5
dust,5
merk,5
bike,5
chea,5
aka,5
